1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,3. ¿Con qué género te identificas?,4. ¿Con qué frecuencia realizas viajes dentro de México?,5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?,6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?,"11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”",12. ¿Qué tipo de información consideras más importante?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?",15. ¿Qué funciones consideras indispensables en una app de viajes?,16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?"
"Item 18, México",,30–39 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Información real
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Fácil de  usar
"Hidalgo, México","Atotonilco el Grande, Hidalgo, México",40–49 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Mala experiencia de uso, Información falsa o incompleta, Falta de valor real",Que sea confiable 
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",30–39 años,Hombre,Esporádicamente,2 veces,4 veces o más,Otro,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea segura y confiable
"Ciudad de México, México",,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Accesibilidad 
"Ciudad de México, México",,18–29 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Recomendaciones cercanas,Demasiadas opciones sin guía,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real","Que proporcionen información confiable, detallada , real de las atracciones "
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,5.0,Seguridad,Falta de información en el momento exacto,4.0,Uso sin conexión,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones","Que sea real, actualuzada"
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Google,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Información offline,Recomendaciones poco confiables,4.0,Información verificada,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Recomendaciones verídicas y no por temas de marketing
"Estado de México, México",,18–29 años,Mujer,Varias veces al año,1 vez,Gastronomía,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",
"Guanajuato, México",,18–29 años,Hombre,Una vez al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Seguridad
"Hidalgo, México","Actopan, Hidalgo, México",30–39 años,Hombre,Esporádicamente,4 veces o más,Naturaleza,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,3.0,Recomendaciones locales confiables,Exceso de publicidad,Amigable para manejar
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Mala experiencia de uso, Información falsa o incompleta, No confiar en las recomendaciones",Que sea útil la app
"Ciudad de México, México",,30–39 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Que sea una herramienta útil 
"Hidalgo, México","Cuautepec de Hinojosa, Hidalgo, México",30–39 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Opiniones de otros usuarios,4.0,5.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,Información falsa o incompleta,Sin palabras 
"Veracruz de Ignacio de la Llave, México",,30–39 años,Hombre,Esporádicamente,1 vez,4 veces o más,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea confiable y segura
"Hidalgo, México","Apan, Hidalgo, México",30–39 años,Hombre,Esporádicamente,1 vez,4 veces o más,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Recomendaciones cercanas,Falta de información en el momento exacto,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",
"Querétaro, México",,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,4.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Sea verídica 
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Que tenga información verídica 
"Hidalgo, México","Tulancingo de Bravo, Hidalgo, México",18–29 años,Hombre,Varias veces al año,3 veces,Aventura,Google,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Imágenes fotos y precios paisajes
"Ciudad de México, México",,60 años o más,Mujer,Varias veces al año,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Exceso de publicidad, Mala experiencia de uso, No confiar en las recomendaciones",Precio comida y hoteles transporte 
"Sinaloa, México",,60 años o más,Mujer,Varias veces al año,1 vez,Descanso / relajación,Otro,Me ayudan a ahorrar tiempo,Recomendación local,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confiable 
"Guerrero, México",,50–59 años,Mujer,Una vez al año,1 vez,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,4.0,3.0,Mapas y rutas,Falta de información en el momento exacto,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Que realmente me convenza lo que ofrece
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,,Cultura / Historia,Redes Sociales,Evito apps que parecen publicidad disfrazada,Fotos reales,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Informacion reelevante
"Estado de México, México",,50–59 años,Mujer,Muy rara vez,1 vez,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,3.0,Uso sin conexión,"Exceso de publicidad, Falta de valor real, No confiar en las recomendaciones",
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,2.0,4.0,Mapas y rutas,Información desactualizada,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Ninguna
"Estado de México, México",,50–59 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,Otro,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,3.0,3.0,Seguridad,Poca visibilidad de comercios locales,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",X
"Nuevo León, México",,50–59 años,Mujer,Esporádicamente,2 veces,Aventura,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,2.0,3.0,Eventos o actividades del día,Información desactualizada,1.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Actualización y reak
"Ciudad de México, México",,18–29 años,Hombre,Esporádicamente,2 veces,Naturaleza,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Falta de información en el momento exacto,3.0,Recomendaciones locales confiables,"Exceso de publicidad, Información falsa o incompleta, Mala experiencia de uso","Información en rutas, lugares y horarios,para organizar un intinerario."
"Hidalgo, México","Actopan, Hidalgo, México",50–59 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Recomendación local,5.0,4.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",
"Ciudad de México, México",,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Mayor difusión e información 
"Estado de México, México",,40–49 años,Mujer,Varias veces al año,3 veces,Naturaleza,Recomendaciones de amigos / familia,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,4.0,4.0,Recomendaciones cercanas,Poca visibilidad de comercios locales,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confiabilidad
"Hidalgo, México","Huasca de Ocampo, Hidalgo, México",18–29 años,Otro / Prefiero no contestar,Una vez al año,2 veces,Naturaleza,Redes Sociales,Evito apps que parecen publicidad disfrazada,Precio,4.0,4.0,Mapas y rutas,Información desactualizada,5.0,Eventos y experiencias locales,No confiar en las recomendaciones,Horarios y información actualizada
"Ciudad de México, México",,40–49 años,Hombre,Esporádicamente,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,3.0,3.0,Mapas y rutas,Falta de información en el momento exacto,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad",Inovadora
"Hidalgo, México","Tlaxcoapan, Hidalgo, México",40–49 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,4.0,5.0,Mapas y rutas,Información desactualizada,3.0,Comercios y servicios cercanos,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Segura y excelente
"Estado de México, México",,30–39 años,Mujer,Esporádicamente,1 vez,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Que me haga disfrutar el viaje
"Hidalgo, México","Tulancingo de Bravo, Hidalgo, México",30–39 años,Mujer,Muy rara vez,1 vez,Cultura / Historia,Google,Me ayudan a ahorrar tiempo,Cercanía / ubicación,5.0,4.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real",
"Hidalgo, México","Actopan, Hidalgo, México",30–39 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Mala experiencia de uso,Que sea segura y confiable 
"Veracruz de Ignacio de la Llave, México",,30–39 años,Mujer,Muy rara vez,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,4.0,Seguridad,Recomendaciones poco confiables,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Falta de valor real",
"Veracruz de Ignacio de la Llave, México",,30–39 años,Mujer,Una vez al año,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,3.0,3.0,Mapas y rutas,Información desactualizada,4.0,Uso sin conexión,"Información falsa o incompleta, Falta de valor real",Que funcione sin Internet y sea exacta
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,3 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Cercanía / ubicación,5.0,4.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real, Exceso de publicidad","Seguridad, HORARIOS ASERTADos, confiable"
"Hidalgo, México","Huejutla de Reyes, Hidalgo, México",30–39 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Otro,Me ayudan a ahorrar tiempo,Fotos reales,4.0,4.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Falta de valor real, Información falsa o incompleta",Ver imágenes y precios
"Ciudad de México, México",,18–29 años,Mujer,Varias veces al año,3 veces,Naturaleza,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,5.0,3.0,Recomendaciones cercanas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que las recomendaciones sean reales 
"Estado de México, México",,30–39 años,Hombre,Muy rara vez,1 vez,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Seguridad,Información desactualizada,2.0,Rutas sugeridas,Información falsa o incompleta,Confiable 
"Hidalgo, México","Epazoyucan, Hidalgo, México",30–39 años,Mujer,Esporádicamente,1 vez,4 veces o más,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,5.0,4.0,Seguridad,Información desactualizada,1.0,Comercios y servicios cercanos,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que se mencionen precios y ubicación exacta 
"Hidalgo, México","Ixmiquilpan, Hidalgo, México",40–49 años,Hombre,Una vez al año,2 veces,Cultura / Historia,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,4.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Exceso de publicidad, Información falsa o incompleta, Mala experiencia de uso",Confiable 
"Jalisco, México",,60 años o más,Hombre,Esporádicamente,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Imlresionamte
